X,Y,OBJECTID,ID,CD,NANOS,VZMPAT,VZMMPPT,PCDIFMMPT,DSFAIXADIF
-52.355,-14.6729999999999,134,134,26100000,,439.31,530.87,-17.25,"-24,9% a -5%"
-51.696,-14.0869999999999,135,135,26200000,,623.49,737.85,-15.5,"-24,9% a -5%"
-50.9639999999999,-12.292,136,136,26300000,,820.67,923.69,-11.15,"-24,9% a -5%"
-50.663,-11.6179999999999,137,137,26350000,,2231.51,2708.81,-17.62,"-24,9% a -5%"
-49.948,-12.0989999999999,138,138,26710000,,131.21,193.19,-32.08,"-49,9% a -25%"
-49.5889999999999,-12.4179999999999,139,139,26720000,,56.09,71.45,-21.49,"-24,9% a -5%"
-49.934,-10.5649999999999,140,140,26800000,,378.43,528.33,-28.37,"-49,9% a -25%"
-49.378,-9.18399999999997,141,141,27380000,,23.53,26.4,-10.89,"-24,9% a -5%"
-49.259,-8.26899999999995,142,142,27500000,,4005.99,4940.28,-18.91,"-24,9% a -5%"
-49.045,-7.61399999999998,143,143,27550000,,23.25,28.5,-18.42,"-24,9% a -5%"
-48.6109999999999,-7.14599999999996,144,144,28150000,,28.61,33.71,-15.13,"-24,9% a -5%"
-48.47,-6.67199999999997,145,145,28240000,,70.4,78.51,-10.33,"-24,9% a -5%"
-48.542,-6.40999999999997,146,146,28300000,,4686.62,5656.58,-17.15,"-24,9% a -5%"
-48.133,-5.65099999999995,147,147,28850000,,5085.35,6024.63,-15.59,"-24,9% a -5%"
-49.124,-5.33899999999994,148,148,29050000,,8766.07,10276.6,-14.7,"-24,9% a -5%"
-49.2209999999999,-5.48699999999997,149,149,29100000,,613.57,637.4,-3.74,"-4,9% a 5%"
-49.653,-3.75799999999992,150,150,29700000,,10848.79,11422.79,-5.03,"-24,9% a -5%"
-51.706,0.986,151,151,30080000,,399.81,327.05,22.25,"5,1% a 25%"
-52.016,0.901,152,152,30300000,,408.65,358.58,13.96,"5,1% a 25%"
-51.439,0.708,153,153,30400000,,1460.86,977.29,49.48,"25,1% a 50%"
-47.0549999999999,-1.86699999999996,154,154,31490000,,86.87,88.86,-2.25,"-4,9% a 5%"
-47.066,-1.54099999999994,155,155,31520000,,131.61,137.4,-4.22,"-4,9% a 5%"
-47.117,-1.65199999999993,156,156,31600000,,1.34,1.14,17.22,"5,1% a 25%"
-48.085,-3.13699999999994,157,157,31680000,,458.29,478.38,-4.2,"-4,9% a 5%"
-47.768,-2.51299999999998,158,158,31700000,,597.03,608.32,-1.86,"-4,9% a 5%"
-46.591,-1.73499999999996,159,159,32450002,,77.57,75.63,2.57,"-4,9% a 5%"
-46.8459999999999,-3.31999999999994,160,160,32540000,,130.08,119.06,9.25,"5,1% a 25%"
-46.8029999999999,-2.77199999999993,161,161,32550000,,72.06,74.95,-3.86,"-4,9% a 5%"
-46.316,-1.80099999999993,162,162,32620000,,482.52,476.99,1.16,"-4,9% a 5%"
-45.956,-2.05399999999997,163,163,32740000,,58.91,61.56,-4.3,"-4,9% a 5%"
-45.667,-2.94399999999996,164,164,32830000,,75.63,88.28,-14.33,"-24,9% a -5%"
-45.785,-2.50299999999993,165,165,32850000,,17.56,19.88,-11.67,"-24,9% a -5%"
-45.98,-5.76599999999996,166,166,33025000,,32.04,21.61,48.28,"25,1% a 50%"
-46.494,-4.29899999999998,167,167,33075000,,5.31,4.47,18.69,"5,1% a 25%"
-45.7789999999999,-4.03399999999993,168,168,33170000,,19.93,20.79,-4.11,"-4,9% a 5%"
-45.466,-3.65999999999997,169,169,33190000,,211.8,213.02,-0.57,"-4,9% a 5%"
-45.9829999999999,-5.76699999999994,170,170,33205000,,21.57,25.98,-16.99,"-24,9% a -5%"
-45.318,-5.73499999999996,171,171,33215000,,17.35,22.66,-23.42,"-24,9% a -5%"
-45.244,-5.50099999999998,172,172,33250000,,47.61,58.13,-18.09,"-24,9% a -5%"
-44.961,-5.10199999999998,173,173,33260000,,46.18,58.81,-21.48,"-24,9% a -5%"
-44.9279999999999,-5.41899999999993,174,174,33270000,,1.11,2.17,-48.75,"-49,9% a -25%"
-44.6109999999999,-4.56999999999994,175,175,33281000,,68.95,89.51,-22.97,"-24,9% a -5%"
-44.6759999999999,-4.36999999999995,176,176,33286000,,78.78,98.56,-20.07,"-24,9% a -5%"
-44.7649999999999,-4.21899999999994,177,177,33290000,,81.79,108.63,-24.7,"-24,9% a -5%"
-46.1419999999999,-5.82199999999995,178,178,33321000,,20.68,23.3,-11.25,"-24,9% a -5%"
-46.24,-5.59399999999994,179,179,33330000,,13.13,15.17,-13.48,"-24,9% a -5%"
-45.218,-3.77199999999993,180,180,33380000,,79.58,104.1,-23.56,"-24,9% a -5%"
-44.36,-6.37099999999998,181,181,33420000,,12.59,18.06,-30.26,"-49,9% a -25%"
-44.708,-6.06699999999995,182,182,33450000,,25.8,32.4,-20.36,"-24,9% a -5%"
-44.34,-6.00699999999995,183,183,33460000,,26.43,32.63,-18.99,"-24,9% a -5%"
-44.249,-6.02099999999996,184,184,33480000,,40.94,55.72,-26.52,"-49,9% a -25%"
-43.586,-5.70599999999996,185,185,33520000,,3.61,6.64,-45.54,"-49,9% a -25%"
-43.884,-5.33699999999993,186,186,33530000,,43.99,62.86,-30.02,"-49,9% a -25%"
-43.3679999999999,-4.86499999999995,187,187,33550000,,49.62,73.16,-32.17,"-49,9% a -25%"
-43.8749999999999,-4.45799999999997,188,188,33590000,,75.99,112.89,-32.69,"-49,9% a -25%"
-43.9329999999999,-4.46499999999997,189,189,33620000,,22.55,38.83,-41.94,"-49,9% a -25%"
-44.1299999999999,-4.12599999999998,190,190,33630000,,112.74,165.2,-31.76,"-49,9% a -25%"
-44.379,-3.62799999999993,191,191,33680000,,172.33,232.33,-25.82,"-49,9% a -25%"
-43.703,-3.57799999999997,192,192,33730000,,20.55,31.74,-35.25,"-49,9% a -25%"
-43.525,-3.33499999999998,193,193,33760000,,16.85,26.04,-35.31,"-49,9% a -25%"
-43.872,-3.55299999999994,194,194,33780000,,74.18,97.51,-23.92,"-24,9% a -5%"
-45.9259999999999,-9.11299999999994,195,195,34020000,,89.4,109.06,-18.03,"-24,9% a -5%"
-45.254,-7.56699999999995,196,196,34060000,,175.16,216.99,-19.28,"-24,9% a -5%"
-44.8269999999999,-7.38099999999997,197,197,34070000,,183.7,222.31,-17.37,"-24,9% a -5%"
-44.614,-7.39099999999996,198,198,34090000,,28.22,35.02,-19.4,"-24,9% a -5%"
-46.0359999999999,-7.53399999999993,199,199,34130000,,88.43,97.12,-8.94,"-24,9% a -5%"
-44.814,-7.08199999999994,200,200,34170000,,156.98,185.47,-15.36,"-24,9% a -5%"
-45.0289999999999,-9.57999999999993,201,201,34230000,,1.36,2.27,-39.95,"-49,9% a -25%"
-44.206,-8.79299999999995,202,202,34251000,,7.26,19.24,-62.24,"-74,9% a -50%"
-43.643,-7.24799999999993,203,203,34270000,,14.22,31.52,-54.88,"-74,9% a -50%"
-43.028,-6.76099999999997,204,204,34311000,,369.75,495.81,-25.42,"-49,9% a -25%"
